account_name,detection_source
24Mx,subpage: pim for automotive ecommerce
Abb Inbetween,testimonial: subpage: abb inbetween
Abitare,"customer story: abitare, testimonial: customer story: abitare"
Adam Hall,customer story: adam hall
Advanced Drainage Systems,"customer story: advanced drainage systems, testimonial: customer story: advanced drainage systems"
Agu,subpage: expand to new segments
Aigle,subpage: fashion
Algorel Diamart Now,"customer story: algorel diamart now, testimonial: customer story: algorel diamart now"
Alltricks,"customer story: alltricks, testimonial: customer story: alltricks"
American Eagle,"homepage, subpage: retailers & distributors"
Amg Medical,"customer story: amg medical, testimonial: customer story: amg medical"
Asket,subpage: fashion
Assa Abloy,"subpage: b2b manufacturing, testimonial: subpage: assa abloy"
Axonlab,"customer story: axonlab, testimonial: customer story: axonlab"
Babolat,"customer story: babolat, subpage: expand to new segments, testimonial: customer story: babolat"
Bata,"customer story: bata, testimonial: customer story: bata"
Bath Depot,"customer story: bath depot, testimonial: customer story: bath depot"
Bentley,customer story: bentley
Bergfreunde,customer story: bergfreunde
Bestway,customer story: bestway
Boshart Industries,customer story: boshart industries
Bradfords,customer story: bradfords
Bs International,customer story: bs international
Calumet Photographic,customer story: calumet photographic
Carhartt,subpage: fashion
Caterforce,subpage: pim for food and beverage
Chicos,subpage: fashion
City Furniture,"customer story: city furniture, subpage: akeneo solutions, subpage: omnichannel activation, subpage: supplier data onboarding solutions akeneo"
Clarks,"homepage, subpage: retailers & distributors"
Costa,"subpage: activation, subpage: sell on retailers marketplaces"
Courir,testimonial: subpage: courir
Delfingen,customer story: delfingen
Demon Tweeks,subpage: pim for automotive ecommerce
Deventrade,customer story: deventrade
Digital Factory Invivo,customer story: digital factory invivo
Drawer,subpage: distributor retailer
Eataly,subpage: pim for food and beverage
Electro Depot,customer story: electro depot
Elisa,subpage: distributor retailer
Emka Gruppe,customer story: emka gruppe
Fanatics,"homepage, subpage: retailers & distributors"
Felco,customer story: felco
Feuvert,subpage: pim for automotive ecommerce
Fielmann,customer story: fielmann
Fossil,"customer story: fossil, subpage: akeneo solutions, subpage: brand manufacturer, subpage: customer story, subpage: fashion, subpage: omnichannel activation, subpage: supplier data onboarding solutions akeneo"
Franklin Electric,"subpage: akeneo solutions, subpage: omnichannel activation, subpage: supplier data onboarding solutions akeneo"
Franprix,customer story: franprix
Fraport Frankfurt Airport Shopping,customer story: fraport frankfurt airport shopping
