account_name,website_url,website_confidence,revenue_status,reported_revenue,employee_count,vertical,vertical_verdict,sells_physical_products,has_ecommerce,catalog_size,has_product_images,fit_score,notes
Advanced Drainage Systems,https://www.ads-pipe.com,HIGH,confirmed,~$2.9B (FY2024),7000+,Construction/Drainage,KEEP,PASS,DEPRIORITIZE,LARGE,PASS,B,Home improvement/water management; no direct consumer ecommerce; sold via Home Depot/Amazon
American Eagle,https://www.ae.com,HIGH,confirmed,~$5.3B (FY2024),40000+,Fashion/Apparel,DISQUALIFY,PASS,PASS,LARGE,PASS,DISQUALIFIED,Casual fashion retailer
Assa Abloy,https://www.assaabloy.com,HIGH,confirmed,~$13B (2024),52000+,Home Improvement/Security,KEEP,PASS,PASS,LARGE,PASS,A,Global lock/access leader; 250+ brands incl. Yale; B2B eStore; very large catalog
Bata,https://www.bata.com,HIGH,confirmed,~$2-3B,30000+,Footwear,KEEP,PASS,PASS,LARGE,PASS,B,Global footwear; full ecommerce; large catalog; upgraded per manual review
Bentley,https://www.bentleymotors.com,HIGH,confirmed,~EUR 3.4B (2023),4500+,Automotive/Luxury,KEEP,PASS,PASS,SMALL,PASS,C,Luxury auto; small lifestyle merch catalog online
Bestway,https://www.bestwaycorp.com,MEDIUM,confirmed,~$2.8B (2025),3000+,Outdoor/Recreation,KEEP,PASS,PASS,LARGE,PASS,A,Inflatable pools/spas/outdoor; 1100+ products; strong product imagery
Carhartt,https://www.carhartt.com,HIGH,confirmed,~$1.5-1.8B,5000+,Outdoor/Workwear,KEEP,PASS,PASS,LARGE,PASS,A,Workwear & outdoor gear; large DTC ecommerce; large catalog; upgraded per manual review
Chicos,https://www.chicos.com,HIGH,confirmed,~$2.1B,10000+,Fashion/Apparel,DISQUALIFY,PASS,PASS,LARGE,PASS,DISQUALIFIED,US women's fashion
Clarks,https://www.clarks.com,HIGH,confirmed,~GBP 1.2B (~$1.5B),12000+,Footwear,KEEP,PASS,PASS,LARGE,PASS,B,British footwear brand; full ecommerce; large catalog; upgraded per manual review
Costa,https://www.costa.co.uk,MEDIUM,confirmed,~GBP 1.5B+,16000+,Food & Beverage,DISQUALIFY,PASS,DEPRIORITIZE,SMALL,PASS,DISQUALIFIED,Coffee chain
Digital Factory Invivo,https://www.invivo-group.com,MEDIUM,confirmed,~EUR 12B (InVivo Group),13000+,Agriculture/B2B,UNCLEAR,PASS,PASS,LARGE,PASS,C,French agricultural cooperative; B2B e-commerce via Aladin.farm (25k+ SKUs)
Elisa,https://www.elisa.fi,MEDIUM,confirmed,~EUR 2.2B,6400+,Telecom/Electronics,UNCLEAR,PASS,PASS,MEDIUM,PASS,C,Finnish telecom; sells phones/routers/TVs as secondary to subscriptions
Fanatics,https://www.fanatics.com,HIGH,confirmed,~$8B+,10000+,Sports Merchandise,KEEP,PASS,PASS,LARGE,PASS,A,Massive sports ecommerce; 1.5M+ products; strong fit for AI product images
Fielmann,https://www.fielmann.com,HIGH,confirmed,~EUR 2.2B,23000+,Optical/Eyewear,UNCLEAR,PASS,PASS,LARGE,PASS,B,Europe's largest optician; large catalog but niche optical vertical
Fossil,https://www.fossil.com,HIGH,confirmed,~$1.14B (FY2024),8000+,Watches/Accessories,KEEP,PASS,PASS,LARGE,PASS,B,Watches and accessories; strong DTC ecommerce; large catalog; upgraded per manual review
Franklin Electric,https://www.franklin-electric.com,HIGH,confirmed,~$2.1B,6500+,Industrial/Pumping,UNCLEAR,PASS,DEPRIORITIZE,LARGE,PASS,C,B2B pump manufacturer; sold through distributors
Franprix,https://www.franprix.fr,HIGH,confirmed,~EUR 2B+ (network),8000+,Grocery/Food Retail,DISQUALIFY,PASS,PASS,LARGE,PASS,DISQUALIFIED,French grocery chain; 900+ stores
Fraport Frankfurt Airport Shopping,https://www.frankfurt-airport.com,HIGH,confirmed,~EUR 3.9B (2023),23000+,Airport Retail (mixed),UNCLEAR,PASS,PASS,LARGE,PASS,C,Mixed duty-free retail; spirits/perfume dominated
Gedimat,https://www.gedimat.fr,HIGH,confirmed,~EUR 2B+ (network),10000+,Home Improvement/Building Materials,KEEP,PASS,PASS,LARGE,PASS,A,French building materials; 425+ stores; 50000+ product references
