account_name,website_url,website_confidence,revenue_status,reported_revenue,employee_count,confidence,reasoning
Abb Inbetween,null,LOW,skipped,,,,Skipped - no URL found in Step 1
Bs International,null,LOW,skipped,,,,Skipped - no URL found in Step 1
Deventrade,null,LOW,skipped,,,,Skipped - no URL found in Step 1
Grillstar,null,LOW,skipped,,,,Skipped - no URL found in Step 1
Nei,null,LOW,skipped,,,,Skipped - no URL found in Step 1
Petra,null,LOW,skipped,,,,Skipped - no URL found in Step 1
Synchro Diffusion,null,LOW,skipped,,,,Skipped - no URL found in Step 1
The Agent,null,LOW,skipped,,,,Skipped - no URL found in Step 1
24Mx,https://www.24mx.com,HIGH,disqualified,Part of Pierce Group (~SEK 1.6B / ~$155M),800+ (group),high,Pierce Group total ~$155M; well under $1B
Abitare,https://www.abitarekids.com,MEDIUM,disqualified,,~50,low,Small children's furniture retailer
Adam Hall,https://www.adamhall.com,HIGH,disqualified,~EUR 200M,500+,medium,Event technology manufacturer
Advanced Drainage Systems,https://www.ads-pipe.com,HIGH,confirmed,~$2.9B (FY2024),7000+,high,NYSE: WMS; publicly traded; FY2024 revenue ~$2.9B
Agu,https://www.agu.com,HIGH,disqualified,~$9M (2024),160,high,Chapter 11 in 2024; rescued by EcoMotion; tiny revenue
Aigle,https://www.aigle.com,HIGH,disqualified,,~800,medium,French outdoor brand; ~800 employees; well under EUR 1B
Algorel Diamart Now,https://www.diamart.fr,MEDIUM,disqualified,,~50,low,Small French consulting firm
Alltricks,https://www.alltricks.com,HIGH,disqualified,~EUR 200M,~300,medium,French cycling retailer; acquired by Decathlon
American Eagle,https://www.ae.com,HIGH,confirmed,~$5.3B (FY2024),40000+,high,NYSE: AEO; publicly traded
Amg Medical,https://www.amgmedical.com,MEDIUM,disqualified,,~100,low,Canadian medical equipment; small
Asket,https://www.asket.com,HIGH,disqualified,~$20-40M,~50-100,low,Swedish DTC fashion startup
Assa Abloy,https://www.assaabloy.com,HIGH,confirmed,~$13B (2024),52000+,high,OMX: ASSA-B; global lock/access leader
Axonlab,https://www.axonlab.com,HIGH,disqualified,~$39.5M,222,medium,Swiss lab products distributor
Babolat,https://www.babolat.com,HIGH,disqualified,~$70-155M,~400,medium,French tennis equipment; well under $1B
Bata,https://www.bata.com,HIGH,confirmed,~$2-3B,30000+,medium,Global footwear; 70+ countries
Bath Depot,https://www.bathdepot.ca,HIGH,disqualified,~$19.7M,200+,medium,Canadian bathroom retailer
Bentley,https://www.bentleymotors.com,HIGH,confirmed,~EUR 3.4B (2023),4500+,high,VW Group subsidiary
Bergfreunde,https://www.bergfreunde.de,HIGH,disqualified,~EUR 200M,~500,medium,German outdoor retailer
Bestway,https://www.bestwaycorp.com,MEDIUM,confirmed,~$2.8B (2025),3000+,high,Global leader inflatable pools; 47% market share
Boshart Industries,https://www.boshart.com,HIGH,disqualified,~$10-25M,~80,medium,Canadian plumbing/valve manufacturer
Bradfords,https://www.bradfords.co.uk,HIGH,disqualified,~GBP 100M,500+,medium,UK building materials; single region
Calumet Photographic,https://www.calumetphoto.com,HIGH,disqualified,,~50-100,low,Photography retailer; went through bankruptcy
Carhartt,https://www.carhartt.com,HIGH,confirmed,~$1.5-1.8B,5000+,high,Major US workwear brand
Caterforce,https://www.caterforce.co.uk,HIGH,disqualified,~GBP 500M (buying volume),200+,medium,UK foodservice buying group; under £1B
Chicos,https://www.chicos.com,HIGH,confirmed,~$2.1B,10000+,high,Chico's FAS; taken private by Sycamore 2023
City Furniture,https://www.cityfurniture.com,HIGH,disqualified,~$321M-$760M,2500+,medium,South Florida furniture; most recent est. $321M; under $1B
Clarks,https://www.clarks.com,HIGH,confirmed,~GBP 1.2B (~$1.5B),12000+,high,British footwear; global operations
Costa,https://www.costa.co.uk,MEDIUM,confirmed,~GBP 1.5B+,16000+,high,Costa Coffee; Coca-Cola owned; UK's largest coffee chain
Courir,https://www.courir.com,HIGH,disqualified,~EUR 587M (2024),3000+,high,French sneaker retailer; acquired by JD Sports; EUR 587M in 2024
Delfingen,https://www.delfingen.com,HIGH,disqualified,~EUR 400M,4000+,high,Euronext-listed; automotive parts; under EUR 1B
Demon Tweeks,https://www.demon-tweeks.com,HIGH,disqualified,~$25-36M,~150,medium,UK motorsport parts; niche
Digital Factory Invivo,https://www.invivo-group.com,MEDIUM,confirmed,~EUR 12B (InVivo Group),13000+,high,Parent InVivo is major French agricultural cooperative
Drawer,https://www.drawer.fr,HIGH,disqualified,,~30-50,low,Small French furniture ecommerce
Eataly,https://www.eataly.com,HIGH,disqualified,~EUR 500-600M,5000+,medium,Italian food marketplace; under EUR 1B
Electro Depot,https://www.electrodepot.fr,HIGH,disqualified,~EUR 500-700M,2000+,medium,French electronics discount; under EUR 1B
Elisa,https://www.elisa.fi,MEDIUM,confirmed,~EUR 2.2B,6400+,high,HEL: ELISA; Finnish telecom
Emka Gruppe,https://www.emka.com,MEDIUM,disqualified,,~400-1000,low,German locking systems; no revenue data but likely well under $1B
